Basin,Kperc,Kb,Ke,Cqq,S_init,G_init,Smax,KGE
03213700,0.071,0.991,0.941,0.163,0.35,0.15,0.05,0.292
07149000,0.012,0.405,0.6,0.101,0.35,0.15,0.05,0.291
06784000,0.013,0.56,0.349,0.106,0.35,0.15,0.05,0.29
04197100,0.073,1.0,0.464,0.329,0.35,0.15,0.05,0.289
09512280,0.026,0.943,0.722,0.106,0.35,0.15,0.05,0.288
01583500,0.19,0.996,0.974,0.42,0.35,0.15,0.05,0.287
08066200,0.021,0.994,0.392,0.124,0.35,0.15,0.05,0.281
10173450,0.374,0.158,0.944,0.834,0.35,0.15,0.05,0.279
13235000,0.212,0.35,0.581,0.51,0.35,0.15,0.05,0.279
02064000,0.042,0.994,0.572,0.238,0.35,0.15,0.05,0.279
11266500,0.989,0.36,0.825,0.105,0.35,0.15,0.05,0.278
01491000,0.057,0.99,0.738,0.355,0.35,0.15,0.05,0.277
02395120,0.247,1.0,0.987,0.491,0.35,0.15,0.05,0.277
03285000,0.095,0.997,0.578,0.152,0.35,0.15,0.05,0.274
01669520,0.922,0.946,0.94,0.993,0.35,0.15,0.05,0.27
01644000,0.066,1.0,0.762,0.163,0.35,0.15,0.05,0.27
04196800,0.058,1.0,0.557,0.259,0.35,0.15,0.05,0.268
01639500,0.351,0.998,0.422,0.192,0.35,0.15,0.05,0.262
10258500,0.056,0.994,0.5,0.118,0.35,0.15,0.05,0.257
02212600,0.078,1.0,0.611,0.179,0.35,0.15,0.05,0.255
09497980,0.016,0.618,0.34,0.102,0.35,0.15,0.05,0.253
07148400,0.012,0.014,0.589,0.106,0.35,0.15,0.05,0.252
07299670,0.012,0.187,0.284,0.101,0.35,0.15,0.05,0.251
02472000,0.012,0.696,0.669,0.103,0.35,0.15,0.05,0.248
02074500,0.093,0.995,0.806,0.302,0.35,0.15,0.05,0.247
03140000,0.653,0.932,0.881,0.998,0.35,0.15,0.05,0.244
