like1,parKperc,parKb,parKe,parCqq,parBias,parS_init,parG_init,chain
18.56,0.6426,0.3901,0.675,0.9995,-0.1459,1522.0,621.5,4.0
10000.0,0.5767,0.412,0.267,0.9995,0.3762,1542.0,1072.0,5.0
14.07,0.3335,0.7217,0.6626,0.999,-0.673,1725.0,1449.0,6.0
22.39,0.4392,0.3164,0.532,0.9995,-0.1196,1453.0,1417.0,7.0
10000.0,0.9517,0.567,0.2283,1.0,-0.2009,381.5,181.9,8.0
40.22,0.7275,0.885,0.649,0.9995,0.359,1138.0,14.125,9.0
4.367,0.3748,0.524,0.9126,0.9995,-0.127,618.5,571.5,10.0
15.75,0.3982,0.374,0.593,0.9995,-0.2429,790.5,781.0,11.0
21.42,0.521,0.6733,0.6836,0.9995,0.10803,1140.0,472.5,12.0
0.1743,0.11993,0.1932,0.824,0.9995,-0.2375,827.0,1138.0,13.0
20.73,0.5684,0.651,0.7007,0.9995,-0.1837,1081.0,887.0,14.0
12.484,0.4075,0.5664,0.7305,0.9995,-0.144,1156.0,889.5,15.0
4.402,0.5117,0.308,0.98,0.9995,0.321,571.0,1816.0,1.0
34.66,0.558,0.4414,0.5127,0.9995,0.3044,618.0,615.0,2.0
18.31,0.3923,0.753,0.696,0.9995,0.436,463.0,903.5,3.0
7.21,0.2305,0.8696,0.9233,0.9995,0.7466,397.0,11.33,4.0
10000.0,0.9,0.988,0.4114,0.9995,0.526,162.6,1782.0,5.0
